id,realtionship_status,industry,genre,targeted_sex,average_runtime(minutes_per_week),airtime,airlocation,ratings,expensive,money_back_guarantee,netgain
4739,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
27531,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,High,No,0
5783,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,1
4533,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,No,0
7883,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672000000002,High,No,0
24849,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
1330,Married-AF-spouse,Pharma,Comedy,Male,25,Morning,United-States,0.027464672000000002,High,No,1
2664,Never-married,Auto,Infomercial,Female,40,Morning,United-States,0.027464672000000002,Low,No,0
31635,Never-married,Political,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
9995,Never-married,Entertainment,Comedy,Female,25,Morning,Dominican-Republic,0.027464672000000002,Low,No,0
8234,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
14183,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672000000002,Low,No,0
103,Never-married,Auto,Comedy,Female,50,Morning,United-States,0.027464672000000002,Low,Yes,0
27061,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,No,1
23054,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.09844101,Low,Yes,1
18067,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,International,0.027464672000000002,Medium,No,1
10102,Married-spouse-absent,Entertainment,Comedy,Female,25,Morning,United-States,0.027464672000000002,Low,No,0
26833,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,Yes,0
6111,Married-civ-spouse,Pharma,Comedy,Male,48,Primetime,United-States,0.027464672000000002,High,No,1
17671,Never-married,Political,Comedy,Female,20,Morning,United-States,0.027464672000000002,Low,Yes,0
18111,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672000000002,Low,No,0
17429,Never-married,Political,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
28435,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,Yes,0
6017,Married-civ-spouse,Pharma,Comedy,Male,30,Primetime,United-States,0.027464672000000002,High,No,0
11510,Never-married,Auto,Comedy,Male,50,Morning,United-States,0.038658666,Low,No,0
11001,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,1
14274,Married-civ-spouse,Pharma,Drama,Male,40,Daytime,United-States,0.027464672000000002,Low,Yes,0
10705,Divorced,Auto,Drama,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
15919,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672000000002,High,Yes,0
16091,Divorced,Political,Infomercial,Female,35,Primetime,United-States,0.027464672000000002,High,No,0
4136,Separated,Auto,Comedy,Male,41,Primetime,United-States,0.027464672000000002,High,No,0
18950,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Medium,No,0
17263,Divorced,Auto,Comedy,Female,50,Primetime,United-States,0.027464672000000002,High,Yes,0
2299,Widowed,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Medium,No,0
638,Married-civ-spouse,Pharma,Comedy,Male,45,Daytime,United-States,0.027464672000000002,Low,Yes,1
6830,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,No,0
25019,Divorced,Auto,Comedy,Male,65,Primetime,United-States,0.027464672000000002,Low,Yes,1
10168,Widowed,Entertainment,Comedy,Female,40,Daytime,United-States,0.027464672000000002,Low,Yes,0
13191,Divorced,Auto,Comedy,Male,40,Daytime,United-States,0.027464672000000002,Low,Yes,0
28141,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
12602,Divorced,Political,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
654,Married-civ-spouse,Other,Comedy,Female,40,Morning,United-States,0.027464672000000002,High,No,0
2444,Divorced,Political,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
18860,Divorced,Entertainment,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
30225,Never-married,ClassAction,Infomercial,Female,20,Morning,United-States,0.027464672000000002,Low,Yes,0
13743,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
32517,Married-civ-spouse,Pharma,Infomercial,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
6901,Never-married,Auto,Comedy,Female,35,Morning,Columbia,0.027464672000000002,Low,Yes,0
17457,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Medium,No,0
25208,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672000000002,Low,Yes,1
183,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
12580,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672000000002,Low,No,0
21531,Widowed,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Medium,No,0
9412,Never-married,Auto,Comedy,Male,30,Morning,United-States,0.027464672000000002,Low,No,0
20245,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,Medium,No,0
24097,Divorced,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,High,Yes,0
17917,Never-married,Auto,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,No,0
8745,Never-married,Political,Comedy,Male,44,Morning,United-States,0.027464672000000002,High,No,0
30108,Married-civ-spouse,Pharma,Comedy,Male,55,Primetime,United-States,0.027464672000000002,Low,Yes,0
9249,Married-civ-spouse,Other,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
11559,Married-civ-spouse,Pharma,Infomercial,Male,40,Morning,United-States,0.027464672000000002,Low,No,0
28598,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,Yes,1
12357,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672000000002,Low,No,0
18832,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,1
32139,Married-civ-spouse,Pharma,Comedy,Male,15,Daytime,United-States,0.027464672000000002,Medium,No,0
26244,Widowed,Auto,Comedy,Female,50,Daytime,United-States,0.173579841,High,Yes,1
13691,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
23536,Never-married,Political,Comedy,Female,30,Morning,United-States,0.027464672000000002,Low,Yes,0
26101,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Medium,No,1
775,Never-married,Political,Comedy,Male,40,Primetime,United-States,0.00269395,Medium,No,1
1150,Divorced,Entertainment,Comedy,Female,35,Primetime,United-States,0.027464672000000002,High,No,0
25303,Never-married,Political,Comedy,Male,10,Morning,United-States,0.027464672000000002,Medium,No,0
21430,Divorced,Auto,Comedy,Male,10,Primetime,United-States,0.027464672000000002,High,Yes,0
29183,Married-civ-spouse,Pharma,Other,Male,45,Primetime,Ecuador,1.0,Low,No,1
7221,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672000000002,Low,Yes,0
6092,Divorced,Auto,Comedy,Female,8,Daytime,United-States,0.027464672000000002,Low,Yes,0
17974,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672000000002,Low,Yes,0
31631,Married-civ-spouse,Pharma,Comedy,Male,50,Daytime,United-States,0.027464672000000002,High,No,1
2016,Never-married,Auto,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,No,0
22048,Married-civ-spouse,Pharma,Comedy,Male,52,Primetime,United-States,0.027464672000000002,Medium,No,1
19643,Married-civ-spouse,Pharma,Comedy,Male,56,Primetime,United-States,0.102233936,Medium,No,1
25097,Married-civ-spouse,Pharma,Comedy,Male,18,Primetime,Mexico,0.027464672000000002,Medium,No,0
7575,Never-married,Political,Drama,Male,25,Primetime,China,0.027464672000000002,Low,No,0
11107,Never-married,ClassAction,Comedy,Male,30,Morning,United-States,0.0036956709999999998,Medium,No,1
26139,Married-civ-spouse,ClassAction,Other,Female,40,Primetime,Puerto-Rico,0.027464672000000002,Low,Yes,0
17224,Never-married,Auto,Comedy,Male,30,Primetime,United-States,0.027464672000000002,Low,Yes,0
5883,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,No,0
13391,Married-civ-spouse,ClassAction,Comedy,Male,40,Primetime,Mexico,0.027464672000000002,Low,Yes,0
6346,Never-married,Political,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
4279,Divorced,Auto,Infomercial,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
12880,Never-married,Auto,Infomercial,Female,25,Morning,United-States,0.027464672000000002,Low,Yes,0
20011,Married-civ-spouse,Pharma,Comedy,Male,54,Morning,United-States,0.027464672000000002,Low,Yes,0
7771,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
30998,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
8671,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,1.0,Low,Yes,1
4056,Married-civ-spouse,Pharma,Comedy,Male,43,Primetime,Columbia,0.027464672000000002,Medium,No,0
25051,Divorced,Auto,Comedy,Male,24,Daytime,United-States,0.027464672000000002,Low,Yes,0
9263,Never-married,Political,Comedy,Male,28,Morning,United-States,0.027464672000000002,Low,Yes,0
31083,Never-married,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Medium,No,0
19290,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Medium,Yes,1
3990,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
28018,Widowed,Entertainment,Comedy,Female,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
28342,Widowed,Auto,Comedy,Female,43,Primetime,United-States,0.027464672000000002,Low,Yes,0
28283,Never-married,Auto,Comedy,Male,55,Morning,United-States,0.027464672000000002,Low,Yes,0
13229,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672000000002,Low,No,0
8762,Divorced,Entertainment,Infomercial,Female,20,Primetime,United-States,0.027464672000000002,Low,No,0
5120,Married-civ-spouse,Other,Comedy,Female,43,Primetime,United-States,0.027464672000000002,Low,No,0
7827,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,Columbia,0.102233936,Low,Yes,1
14054,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
6472,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,Yes,0
5414,Married-civ-spouse,Pharma,Infomercial,Male,45,Primetime,United-States,0.027464672000000002,Low,Yes,0
9133,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672000000002,Low,Yes,0
13141,Never-married,Political,Comedy,Female,18,Morning,United-States,0.027464672000000002,Medium,No,0
31397,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
9379,Divorced,Entertainment,Comedy,Female,45,Primetime,United-States,0.027464672000000002,Medium,No,0
13166,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,Haiti,0.052556335,Low,Yes,0
16827,Never-married,Political,Comedy,Female,20,Morning,United-States,0.027464672000000002,Low,No,0
11392,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
7533,Never-married,Auto,Comedy,Female,45,Primetime,United-States,0.063195978,Low,Yes,0
964,Separated,Entertainment,Infomercial,Female,40,Primetime,United-States,0.04177081,Low,Yes,0
14289,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,Medium,No,0
24536,Divorced,Entertainment,Infomercial,Female,35,Primetime,United-States,0.027464672000000002,Low,Yes,0
4564,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
13999,Never-married,Auto,Comedy,Female,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
4926,Never-married,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
18189,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
23384,Widowed,Auto,Infomercial,Female,40,Daytime,United-States,0.027464672000000002,Low,No,0
1614,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
24940,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Medium,No,0
30780,Married-civ-spouse,Other,Comedy,Female,35,Primetime,United-States,0.027464672000000002,Low,No,0
25212,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,Yugoslavia,0.027464672000000002,Medium,No,1
23979,Married-civ-spouse,Pharma,Comedy,Male,45,Morning,United-States,0.027464672000000002,Low,No,0
66,Never-married,Political,Drama,Female,25,Morning,Poland,0.027464672000000002,Low,No,0
5701,Never-married,Political,Infomercial,Female,30,Morning,United-States,0.027464672000000002,Low,No,0
16033,Never-married,Political,Other,Female,15,Morning,Cuba,0.027464672000000002,Medium,No,0
4516,Married-civ-spouse,Pharma,Comedy,Male,60,Morning,United-States,0.027464672000000002,Low,Yes,0
13465,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
25528,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
9605,Never-married,Political,Comedy,Male,12,Morning,United-States,0.027464672000000002,High,Yes,0
31314,Never-married,Auto,Infomercial,Male,40,Morning,United-States,0.027464672000000002,High,No,0
184,Married-civ-spouse,Pharma,Comedy,Male,50,Morning,United-States,0.027464672000000002,Low,No,1
18249,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,Canada,0.057642745,Low,No,1
4513,Married-civ-spouse,Pharma,Comedy,Male,55,Primetime,United-States,0.102233936,Medium,No,1
29817,Never-married,Political,Comedy,Male,20,Morning,United-States,0.027464672000000002,Low,No,0
25281,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
19231,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,1
4510,Married-civ-spouse,Pharma,Comedy,Male,70,Primetime,United-States,0.027464672000000002,High,Yes,0
6929,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672000000002,Low,No,0
4628,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
26468,Never-married,Entertainment,Drama,Female,40,Morning,United-States,0.027464672000000002,High,Yes,0
25521,Married-civ-spouse,Other,Comedy,Female,40,Morning,United-States,0.027464672000000002,High,Yes,1
27248,Married-civ-spouse,Pharma,Drama,Male,40,Primetime,China,0.027464672000000002,Low,No,0
1642,Never-married,Auto,Comedy,Male,50,Morning,Puerto-Rico,0.027464672000000002,High,No,0
25288,Never-married,Political,Comedy,Male,20,Morning,United-States,0.027464672000000002,High,Yes,0
20744,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
16609,Never-married,Political,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
13287,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,1
19040,Married-civ-spouse,Pharma,Comedy,Male,18,Primetime,United-States,0.027464672000000002,High,No,1
27177,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Medium,No,0
11943,Never-married,Auto,Comedy,Male,45,Morning,United-States,0.027464672000000002,Low,Yes,0
10836,Married-civ-spouse,Pharma,Comedy,Male,50,Daytime,United-States,0.027464672000000002,Low,Yes,0
441,Never-married,Entertainment,Comedy,Female,36,Morning,United-States,0.027464672000000002,Low,Yes,0
12310,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
9275,Never-married,ClassAction,Comedy,Male,45,Morning,United-States,0.027464672000000002,Low,No,0
29351,Married-civ-spouse,Other,Infomercial,Female,35,Primetime,United-States,0.027464672000000002,High,Yes,0
13538,Never-married,Political,Direct,Female,40,Primetime,United-States,0.027464672000000002,Low,No,0
26080,Married-civ-spouse,Pharma,Comedy,Male,65,Primetime,United-States,0.027464672000000002,Medium,No,1
9736,Never-married,Auto,Comedy,Male,55,Morning,United-States,0.159244527,Low,Yes,1
25091,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Medium,No,0
13950,Married-civ-spouse,Other,Infomercial,Female,40,Primetime,United-States,0.09844101,Medium,No,1
25392,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,Mexico,0.027464672000000002,Low,No,0
30129,Married-civ-spouse,Pharma,Comedy,Male,38,Primetime,United-States,0.027464672000000002,Medium,No,0
23963,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,Yes,0
23292,Married-civ-spouse,Pharma,Comedy,Male,37,Primetime,United-States,0.057642745,High,No,0
8117,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,High,Yes,0
13125,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
2140,Widowed,Auto,Comedy,Female,44,Primetime,United-States,0.027464672000000002,Low,Yes,0
4161,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Medium,No,1
26428,Never-married,Political,Comedy,Male,25,Morning,United-States,0.027464672000000002,High,No,0
13479,Married-civ-spouse,Pharma,Comedy,Male,30,Daytime,United-States,0.027464672000000002,High,Yes,1
8306,Married-civ-spouse,Pharma,Comedy,Male,28,Daytime,United-States,0.027464672000000002,Low,Yes,1
26239,Never-married,Political,Comedy,Male,40,Primetime,Mexico,0.027464672000000002,High,Yes,0
26579,Never-married,Auto,Infomercial,Female,40,Primetime,United-States,0.048880114,High,No,0
32108,Never-married,Political,Comedy,Female,20,Morning,United-States,0.027464672000000002,Low,No,0
9818,Married-civ-spouse,Pharma,Comedy,Male,54,Primetime,United-States,0.027464672000000002,Low,Yes,0
20182,Never-married,Auto,Comedy,Female,40,Primetime,United-States,0.027464672000000002,High,Yes,0
3218,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Medium,No,1
12520,Married-civ-spouse,Pharma,Comedy,Male,40,Daytime,United-States,0.027464672000000002,Low,Yes,0
8045,Separated,Auto,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
26098,Married-civ-spouse,Pharma,Comedy,Male,44,Primetime,United-States,0.027464672000000002,Low,Yes,1
21654,Married-civ-spouse,Pharma,Comedy,Male,20,Daytime,Ecuador,0.027464672000000002,Low,Yes,0
30903,Never-married,Political,Comedy,Female,35,Morning,United-States,0.027464672000000002,Medium,No,0
31106,Widowed,Entertainment,Infomercial,Male,40,Primetime,United-States,0.027464672000000002,Medium,No,0
29212,Divorced,Auto,Infomercial,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
10370,Never-married,Auto,Comedy,Female,40,Morning,United-States,0.027464672000000002,Low,Yes,0
10115,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.070120498,High,No,1
23434,Divorced,Entertainment,Comedy,Female,40,Primetime,United-States,0.027464672000000002,High,Yes,0
22115,Married-civ-spouse,Pharma,Other,Male,55,Morning,Puerto-Rico,0.027464672000000002,Low,Yes,1
14013,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
1483,Divorced,Entertainment,Comedy,Female,30,Morning,United-States,0.027464672000000002,Medium,No,0
596,Never-married,Entertainment,Other,Female,40,Morning,Puerto-Rico,0.027464672000000002,Low,Yes,0
3764,Never-married,Political,Comedy,Female,40,Morning,United-States,0.027464672000000002,High,No,0
20083,Married-civ-spouse,Other,Comedy,Female,12,Primetime,United-States,0.027464672000000002,Low,No,0
27489,Divorced,Entertainment,Comedy,Female,35,Primetime,United-States,0.027464672000000002,Low,Yes,0
23711,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,No,1
20897,Married-civ-spouse,Other,Comedy,Female,2,Daytime,United-States,0.027464672000000002,High,Yes,1
25409,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,High,No,0
27522,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.054977972,Low,No,1
15718,Never-married,Auto,Infomercial,Female,40,Morning,United-States,0.027464672000000002,Low,Yes,0
1984,Never-married,Political,Comedy,Male,90,Morning,United-States,0.027464672000000002,Low,No,0
17081,Married-civ-spouse,Pharma,Comedy,Male,55,Primetime,United-States,0.027464672000000002,Low,No,1
1021,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.057973410999999996,Low,Yes,0
11275,Married-civ-spouse,Pharma,Comedy,Male,45,Primetime,United-States,0.027464672000000002,Low,Yes,1
28962,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.027464672000000002,Low,Yes,1
4365,Separated,Auto,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,No,0
30997,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.173579841,Low,Yes,1
20124,Divorced,Political,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
18752,Married-civ-spouse,Pharma,Comedy,Male,56,Primetime,United-States,0.027464672000000002,Low,Yes,0
5839,Never-married,ClassAction,Infomercial,Female,30,Morning,Mexico,0.027464672000000002,Low,Yes,0
19168,Never-married,Political,Comedy,Female,40,Primetime,United-States,0.027464672000000002,Low,No,0
17233,Married-spouse-absent,Auto,Comedy,Male,40,Primetime,El-Salvador,0.027464672000000002,Low,Yes,0
18172,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
30483,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,1
5832,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,No,0
7954,Divorced,Political,Comedy,Male,40,Primetime,United-States,0.0036956709999999998,Low,Yes,1
17852,Never-married,ClassAction,Drama,Female,40,Morning,United-States,0.027464672000000002,Low,No,0
3390,Divorced,ClassAction,Comedy,Female,40,Primetime,United-States,0.027464672000000002,High,No,0
12176,Divorced,Entertainment,Comedy,Female,48,Primetime,United-States,0.027464672000000002,Medium,No,0
6569,Never-married,ClassAction,Comedy,Female,50,Morning,United-States,0.027464672000000002,High,Yes,0
24683,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,1
806,Divorced,Auto,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,No,0
22965,Married-civ-spouse,Pharma,Comedy,Male,12,Primetime,United-States,0.027464672000000002,Low,Yes,0
15923,Never-married,Political,Comedy,Female,48,Morning,United-States,0.027464672000000002,Low,Yes,0
20234,Never-married,Auto,Comedy,Male,56,Morning,United-States,0.027464672000000002,Low,Yes,0
22226,Married-civ-spouse,Pharma,Infomercial,Male,40,Primetime,United-States,0.027464672000000002,High,Yes,0
4923,Divorced,Auto,Comedy,Female,25,Primetime,United-States,0.027464672000000002,Low,Yes,0
23037,Married-civ-spouse,Other,Infomercial,Female,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
23900,Divorced,Auto,Comedy,Male,45,Primetime,United-States,0.027464672000000002,Low,Yes,1
20507,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.173579841,High,No,1
11816,Married-civ-spouse,Pharma,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,No,0
13985,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
5647,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,Peru,0.027464672000000002,Medium,Yes,0
30744,Never-married,Political,Comedy,Male,35,Morning,United-States,0.027464672000000002,Low,No,0
30541,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,1
